gameID,Reg,Role,earnings,gold,silver,bronze,s-tier
Stunt,North America,No_Fixed,8000.0,1,0,1,0
Blaber,North America,Jungle,193038.0,5,3,1,2
Zhuo,China,Support,23353.0,2,0,0,0
Sangchu,Korea,Top,965.0,1,0,0,0
Asper,Korea,Support,9026.0,2,0,1,0
LokeN,China,ADC,207782.0,4,5,4,1
Yaharong,Korea,Mid,10486.0,0,1,0,0
Pirean,Japan,Mid,4031.0,0,1,1,0
CaD,Korea,Jungle,7094.0,0,1,0,0
Wink,China,ADC,5973.0,0,0,0,0
Yusin,Korea,Support,2399.0,0,0,1,0
Meteor,China,Jungle,12754.0,0,1,1,0
705,China,Top,72451.0,2,0,0,1
Closer,North America,Jungle,41063.0,3,1,0,2
Blue,Europe,Mid,1785.0,2,1,0,0
Xerxe,North America,Jungle,58027.0,1,3,3,1
Hantera,Europe,Support,3863.0,1,1,0,0
Jiejie,China,Jungle,191196.0,2,1,3,2
Dreamer Ace,Europe,Support,8279.0,0,3,0,0
SaNTaS,Russia,Support,68191.0,8,4,0,0
Obsess,Europe,Jungle,37504.0,3,5,3,0
Jactroll,Europe,Support,68795.0,4,2,2,0
Serin,Turkey,Mid,1000.0,2,1,0,0
Lucker,Europe,ADC,12315.0,4,1,1,0
Pak,Europe,Mid,1482.0,0,3,0,0
XUN,China,Jungle,14615.0,1,0,1,0
Koldo,Europe,Jungle,2941.0,0,0,0,0
Efias,Europe,Support,3915.0,2,2,0,0
Alois,Europe,Top,10190.0,7,2,0,0
Dajor,Europe,Mid,7596.0,0,2,0,0
Yang,Brazil,Top,33740.0,6,5,0,2
Nukes,Europe,Support,27027.0,4,4,1,0
Xico,Europe,Mid,5266.0,2,2,1,0
Advienne,Europe,Support,9752.0,1,1,0,0
BOSS,Russia,Top,60489.0,8,1,0,0
Soul,Russia,Jungle,674.0,0,0,0,0
Cariok,Brazil,Jungle,8956.0,2,2,1,0
Hans sama,North America,ADC,111972.0,3,2,2,0
Humanoid,Europe,Mid,142211.0,5,1,1,2
Olleh,North America,Support,114025.0,2,5,0,2
Prime,Europe,Support,5322.0,4,2,0,0
Adam,Europe,Top,36533.0,3,1,2,0
SnowFlower,Korea,Support,41151.0,4,0,1,1
Ranger,Brazil,Jungle,27116.0,3,1,1,1
Prince,Korea,ADC,36790.0,1,1,1,0
Betty,China,ADC,194014.0,7,0,4,6
Selfmade,Europe,Jungle,65719.0,5,3,0,0
Peanut,Korea,Jungle,531539.0,5,12,1,4
Patrik,Europe,ADC,17711.0,2,1,0,1
Drop,Brazil,ADC,496.0,0,0,0,0
Dardoch,North America,No_Fixed,15000.0,0,1,2,0
Avenger,Brazil,Mid,12212.0,3,0,2,0
Eric,China,ADC,109.0,0,0,0,0
JackeyLove,China,ADC,841011.0,9,3,2,5
Life,Korea,Support,118432.0,1,3,2,0
HamBak,Korea,Jungle,849.0,1,1,0,0
Maynter,Russia,Top,661.0,0,0,0,0
Aiming,China,ADC,27810.0,0,2,1,0
Ronaldo,Europe,Mid,13006.0,8,3,2,0
Bolulu,Turkey,Mid,14304.0,4,2,0,0
Breathe,China,Top,15484.0,0,2,2,0
Elk,China,ADC,21148.0,0,2,2,0
Howling,Korea,Top,899.0,1,0,1,0
FireRain,Korea,Mid,4980.0,0,0,1,0
Maple,PCS,Mid,259725.0,10,2,4,6
Tay,Brazil,Top,19808.0,3,2,0,0
FoFo,China,Mid,40417.0,1,3,3,1
Larssen,Europe,Mid,65607.0,1,4,2,0
XinMo,China,Support,8406.0,1,0,0,0
Forge,China,Mid,26844.0,2,0,0,0
Puff,China,ADC,18301.0,0,0,1,0
Aesenar,Europe,Support,1371.0,0,1,0,0
Xiaohu,China,Top,680083.0,12,4,0,8
Raxxo,Europe,Support,25900.0,2,8,2,0
Gilius,Europe,Jungle,49769.0,2,2,4,0
Nomanz,Russia,Mid,57399.0,8,1,0,0
xMatty,Europe,ADC,47727.0,21,8,4,0
loulex,North America,Jungle,36166.0,1,0,2,1
Able,China,ADC,106919.0,3,0,0,2
Southwind,China,Support,18301.0,0,0,0,0
Twila,China,Mid,17566.0,4,0,0,0
Kruimel,Turkey,Mid,10094.0,3,6,2,0
Attila,Europe,ADC,57148.0,5,0,1,0
Lava,Korea,Mid,12695.0,0,0,0,0
Snow,China,ADC,14615.0,1,0,0,0
DudsTheBoy,Brazil,ADC,9057.0,3,0,3,0
Spica,North America,Jungle,38275.0,1,2,1,1
Keria,Korea,Support,103731.0,1,2,1,0
Nisqy,Europe,Mid,93890.0,3,8,2,2
Fenix,North America,Mid,21890.0,1,2,3,0
Hatrixx,Europe,Mid,12890.0,2,2,1,0
MaRin,Korea,Top,264796.0,3,1,1,3
WildTurtle,North America,ADC,175508.0,5,7,3,4
Clozer,Korea,Mid,6987.0,0,0,0,0
Wendelbo,Turkey,Support,20055.0,5,4,0,0
Shark,Korea,ADC,1155.0,0,0,0,0
Zuao,Brazil,Jungle,5134.0,1,0,4,0
QiuQiu,China,Support,106235.0,1,2,1,1
Mole,China,Mid,28327.0,0,1,2,0
Ksaez,Turkey,Mid,254.0,0,0,1,0
Pyosik,Korea,Jungle,45654.0,0,1,1,0
Lindgarde,Europe,ADC,1753.0,0,1,0,0
Cheoni,Korea,ADC,3568.0,0,1,0,0
micaO,Brazil,ADC,39509.0,6,4,0,1
Tolkin,Europe,Top,46683.0,8,3,2,0
Gango,Japan,ADC,5913.0,0,1,2,0
Biubiu,China,Top,5805.0,0,0,0,0
beansu,Europe,Top,8701.0,2,4,2,0
Clid,Korea,Jungle,250619.0,5,2,4,3
Denyk,Europe,Support,49608.0,3,6,0,0
