number,name,earnings,gold,silver,bronze,s-tier
1367,Tiara,3591.00,2,2,0,0
1368,Yusa,3587.00,4,3,7,0
1369,Only,3581.00,2,3,3,1
1370,Baut,3568.00,0,1,0,0
1371,Riss,3568.00,0,1,0,0
1372,Cheoni,3568.00,0,1,0,0
1373,RoyalKanin,3565.00,1,0,0,0
1374,Sarkis,3562.00,2,0,0,0
1375,Taurus,3531.00,0,0,1,0
1376,Hy?rai,3521.00,0,4,0,0
1377,PaSa,3519.00,0,2,0,0
1378,DinTer,3514.00,0,0,0,0
1379,ottovaG,3512.00,7,0,1,0
1380,Will,3500.00,1,0,0,0
1381,Adept,3492.00,1,0,1,0
1382,HungryPanda,3490.00,2,0,1,0
1383,Choisix,3478.00,1,2,1,0
1384,SadJesteRRR,3476.00,0,0,0,0
1385,Only35,3470.00,2,1,0,0
1386,Coated,3457.00,0,0,1,0
1387,Storm,3452.00,0,1,0,0
1388,Valkyrie,3452.00,0,1,0,0
1389,Viking,3437.00,1,0,0,0
1390,UNF0RGIVEN,3431.00,1,0,0,0
1391,Madly,3420.00,1,1,1,0
1392,CheonGo,3410.00,0,0,0,0
1393,Miniduke,3409.00,2,1,1,0
1394,Darker,3400.00,0,0,2,0
1395,Likai,3400.00,0,0,1,0
1396,Hyoga,3384.00,1,0,1,0
1397,Lamabear,3362.00,1,0,0,0
1398,Seraph,3356.00,0,0,1,0
1399,Array,3340.00,3,1,2,0
1400,Kadaver,3329.00,6,1,1,0
1401,BULBAZABP,3320.00,0,1,0,0
1402,goldento4st,3311.00,1,1,0,0
1403,Azhi,3300.00,0,0,0,0
1404,Malunoo,3300.00,0,0,1,0
1405,Minji,3300.00,0,0,0,0
1406,extinkt,3300.00,0,0,1,0
1407,K2,3300.00,0,0,0,0
1408,Yursan,3300.00,0,0,2,0
1409,Bardo,3276.00,2,1,2,0
1410,Hawk,3270.00,1,0,0,0
1411,Akeno,3261.00,0,0,0,0
1412,Rebel,3257.00,1,0,0,0
1413,Wiz,3254.00,1,0,0,0
1414,Glebo,3245.00,0,0,1,0
1415,Lmzs,3244.00,1,0,0,0
1416,Wondro,3239.00,3,2,0,0
1417,Charger,3236.00,0,0,0,0
1418,Neo,3232.00,2,0,1,1
1419,Optimas,3222.00,1,1,0,0
1420,Mist,3220.00,1,1,1,0
1421,Srtty,3220.00,1,1,1,0
1422,Aspect,3220.00,1,1,1,0
1423,Danny,3220.00,1,1,1,0
1424,Tomio,3220.00,1,2,1,0
1425,Destroy,3217.00,0,0,2,0
1426,Mikkel,3214.00,2,1,2,0
1427,SkuLL,3212.00,1,0,0,0
1428,Boomin,3206.00,2,3,0,0
1429,Raid,3196.00,1,0,2,1
1430,Impaler,3191.00,0,2,0,0
1431,Hena,3186.00,0,0,0,0
1432,Tear,3183.00,0,0,2,0
1433,dibu,3181.00,3,0,0,0
1434,Dawn,3179.00,1,0,0,0
1435,hammann,3175.00,0,1,0,0
1436,Lilipp,3173.00,0,0,1,0
1437,ItsCortez,3169.00,0,0,0,0
1438,Cospect,3164.00,5,0,0,0
1439,Tak,3133.00,0,1,2,0
1440,Epic,3121.00,0,0,0,0
1441,ChosenOne,3083.00,3,0,0,0
1442,WouLou,3070.00,2,0,2,0
1443,Zamulek,3056.00,0,2,0,0
1444,Nipphu,3053.00,3,1,1,0
1445,Kryze,3051.00,1,2,0,0
1446,WildHeart,3031.00,0,0,1,0
1447,Ripi,3029.00,3,1,0,0
1448,bucu,3029.00,0,1,1,0
1449,Froggy,3027.00,0,1,0,0
1450,Kashtelan,3025.00,0,2,2,0
1451,Genza,3023.00,0,1,0,0
1452,Saju,3019.00,1,3,1,0
1453,Laba,3018.00,0,1,1,0
1454,Chelly,3007.00,0,0,1,0
1455,Jojopyun,3000.00,0,1,0,0
1456,Hard,3000.00,0,1,0,0
1457,Fill,3000.00,0,1,0,0
1458,Chime,3000.00,2,0,0,0
1459,Blaze,3000.00,0,1,0,0
1460,Klaus,2984.00,0,2,0,0
1461,styllEE,2954.00,1,2,0,0
1462,Koldo,2941.00,0,0,0,0
1463,Turanaga,2936.00,1,0,0,0
1464,LUBEEENZZZ,2936.00,1,0,0,0
1465,Monk,2927.00,2,4,5,0
1466,Prodigy,2923.00,1,2,1,0
1467,NOsFerus,2913.00,1,1,0,0
1468,Arashi,2908.00,0,1,1,0
1469,Wing,2900.00,0,0,0,0
1470,Nausicaa,2900.00,1,0,0,0
1471,Sheo,2888.00,0,2,2,0
1472,Dragane,2865.00,1,3,0,0
1473,FlayStation,2860.00,1,1,1,0
1474,JeongHoon,2857.00,1,0,0,0
1475,Hoya,2850.00,0,0,0,0
1476,Jisoo,2823.00,0,1,0,0
1477,Sof,2813.00,1,0,1,0
1478,Pun1sher,2810.00,0,4,1,0
1479,ForellenLord,2801.00,0,0,1,0
1480,Ablazeolive,2800.00,1,0,1,0
1481,Dragdar,2795.00,0,0,2,0
1482,t4nky,2756.00,0,0,2,0
1483,NUCLEARINT,2745.00,0,1,2,0
1484,Fresskowy,2728.00,0,2,0,0
1485,LeChase,2719.00,2,2,0,0
1486,BroCColi,2700.00,0,0,1,0
1487,KiWiKiD,2700.00,0,0,0,0
1488,Erasus,2698.00,1,0,0,0
1489,Orre,2696.00,2,2,0,0
1490,Hinn,2692.00,0,0,1,0
1491,Mong,2668.00,0,0,0,0
1492,Dragflick,2660.00,1,2,1,0
1493,Zenit,2657.00,0,0,0,0
1494,Phoenix,2649.00,3,0,1,0
1495,Griffon,2645.00,0,2,0,0
1496,Aslan,2637.00,0,1,1,0
1497,Evrot,2634.00,0,1,0,0
1498,2188,2630.00,0,0,0,0
1499,RD,2629.00,0,0,1,0
1500,Fomko,2569.00,0,0,1,0
1501,Tide,2563.00,6,3,0,0
1502,AnOnPsyCkO,2556.00,1,0,0,0
1503,Kenapil,2548.00,0,4,3,0
1504,Truklax,2545.00,2,4,0,0
1505,KazeTAR,2534.00,2,1,1,0
1506,Kuri,2526.00,0,0,0,0
1507,Maxim,2520.00,1,0,0,0
1508,Domas,2517.00,2,1,1,0
1509,Balkhan,2512.00,1,0,0,0
1510,Arnax,2505.00,1,1,0,0
1511,Paolocannone,2500.00,0,0,2,0
1512,DarkSide,2480.00,0,1,0,0
1513,EGym,2460.00,1,4,0,0
1514,Praelus,2459.00,1,0,0,0
1515,Bisbo,2456.00,1,0,0,0
1516,Yoon,2450.00,0,1,0,0
1517,Ic0nic,2450.00,2,1,2,0
1518,Xavieles,2448.00,1,2,1,0
1519,Pepiinero,2443.00,1,0,0,0
1520,JF,2433.00,0,1,0,0
1521,Wojtu?,2421.00,1,0,0,0
1522,Urban,2411.00,2,1,0,0
1523,ShLaYa,2409.00,0,0,0,0
1524,Lautemortis,2400.00,0,0,0,0
1525,Daption,2400.00,4,0,0,0
1526,Yusin,2399.00,0,0,1,0
1527,InKos,2390.00,1,1,1,0
1528,NooB,2387.00,5,2,1,0
1529,LeQu,2384.00,0,2,0,0
1530,Supa,2383.00,0,2,0,0
1531,Leodaras,2381.00,2,0,0,0
1532,Allorim,2378.00,0,2,1,0
1533,Rybson,2377.00,0,1,2,0
1534,CaiPi,2373.00,1,0,0,0
1535,Benaset,2368.00,8,1,0,0
1536,Gagai,2367.00,1,2,0,0
1537,Canee,2360.00,0,0,0,0
1538,Mirbs,2359.00,1,0,2,0
1539,Stepan,2355.00,0,1,0,0
1540,Majd,2344.00,2,0,0,0
1541,DnDn,2343.00,0,1,2,0
1542,Sylvie,2343.00,0,1,2,0
1543,FIESTA,2343.00,0,1,2,0
1544,Practice,2315.00,3,1,0,0
1545,Jiangqiao,2308.00,0,0,1,0
1546,Trigo,2297.00,1,1,0,0
1546,Hiro,2287.00,3,1,1,0
1548,Tulz,2287.00,1,1,1,0
1549,Fallen,2282.00,2,0,1,0
1550,FatMamma,2280.00,0,0,0,0
1551,Kxng,2267.00,1,0,0,0
1552,zty,2266.00,2,1,0,0
1553,Keysie,2252.00,1,0,0,0
1554,Keine,2237.00,0,0,0,0
1555,Anechek,2225.00,0,0,0,0
1556,Chris,2223.00,0,3,0,0
1557,Joekie,2218.00,1,4,1,0
1558,Potter,2213.00,1,1,2,0
1559,Skeden,2210.00,1,2,0,0
1560,Noah,2201.00,1,0,0,0
1561,Sevenarmy,2201.00,0,0,0,0
1562,Castle,2201.00,1,0,0,0
1563,Duoking,2200.00,1,3,0,0
1564,Evolved,2200.00,1,2,0,0
1565,Giyuu,2200.00,0,2,0,0
1566,Mewkyo,2197.00,1,0,0,0
1567,Namex,2191.00,0,5,0,0
1568,Kanji,2187.00,0,0,2,0
1569,Cdric,2171.00,0,1,0,0
1570,Rufus,2170.00,3,1,1,0
1571,Twiizt,2155.00,2,2,2,0
1572,Kiari,2154.00,0,1,0,0
1573,Strompest,2150.00,3,2,2,0
1574,Sardoche,2137.00,0,1,1,0
1575,Zhandia,2131.00,1,1,1,0
1576,Bako,2120.00,0,3,0,0
1577,Swordd,2100.00,0,0,1,0
1578,Clear,2090.00,0,1,0,0
1579,Gimliques,2088.00,0,0,0,0
1580,Tatuy,2087.00,2,0,2,0
1581,Lebron,2080.00,0,3,0,0
1582,Sawyor,2064.00,1,2,0,0
1583,Mihai,2053.00,1,0,0,0
1584,Rocklho,2049.00,1,1,0,0
1585,Baba,2047.00,1,2,1,0
1586,Duclou,2045.00,0,0,0,0
1587,Qwacker,2035.00,1,2,0,0
1588,Yashiro,2034.00,1,1,1,0
1589,Art,2034.00,1,0,1,0
1589,svns,2027.00,1,0,0,0
1589,Lenny,2022.00,2,0,2,0
1592,D4nKa,2017.00,0,0,0,0
1593,Sidnik,2015.00,0,0,0,0
1594,Hollow,2010.00,0,2,1,0
1595,Zikz,2000.00,0,0,0,0
1596,Kevy,2000.00,0,2,0,0
1597,Gate,2000.00,0,0,1,0
1598,Thien,2000.00,1,1,2,0
1599,wingsofdeathx,2000.00,0,0,0,0
1600,TF Blade,2000.00,1,1,0,0
1600,Keel,2000.00,1,0,0,0
1600,Driver,2000.00,0,0,0,0
1603,FakeGod,2000.00,1,0,0,0
1604,Katsurii,2000.00,1,0,2,0
1605,Snurmi,1995.00,2,0,0,0
1606,Michlit,1981.00,2,0,0,0
1607,Noodle,1981.00,2,0,0,0
1608,Mindrago,1981.00,2,0,0,0
1609,MoonBlack,1973.00,0,0,0,0
1610,Seffe,1964.00,0,0,1,0
1611,Kuroko,1962.00,0,0,0,0
1612,Sybol,1954.00,0,2,1,0
1613,Dambaj,1950.00,0,0,1,0
1614,Shmebulock,1946.00,1,0,0,0
1615,Baloo,1935.00,1,0,1,0
1616,Migab,1931.00,6,0,0,0
1617,Reborn,1929.00,2,2,0,0
1618,HyoJun,1929.00,2,2,0,0
1619,Czypsy,1906.00,0,0,2,0
1620,Azitor,1901.00,2,3,1,0
1621,Yameru,1901.00,1,3,1,0
1622,Zelt,1895.00,4,2,1,0
1623,Agentas,1894.00,1,2,1,0
1624,E?cik,1888.00,0,2,0,0
1625,Marky,1878.00,0,0,0,0
1626,113,1878.00,2,0,0,0
1627,Piter Pokir,1875.00,0,0,0,0
1628,Justice,1870.00,0,0,0,0
1629,Dragon,1867.00,1,0,0,0
1630,DrMatt,1862.00,1,0,0,0
1631,Arrietty,1862.00,1,1,0,0
1632,Bean J,1862.00,1,1,0,0
1633,Demon,1862.00,1,0,0,0
1634,Taki,1862.00,1,1,0,0
1635,Morsu,1862.00,0,1,0,0
1636,Brizz,1862.00,1,2,0,0
1637,Poeza,1856.00,1,0,0,0
1638,Wind,1856.00,0,0,0,0
1639,Selfway,1855.00,0,1,2,0
1640,Tyrin,1847.00,0,1,1,0
1641,ST3PZ,1847.00,0,2,1,0
1642,Robocop,1843.00,2,1,0,0
1643,bydeki,1843.00,0,0,1,0
1644,Jkalam,1842.00,2,1,1,0
1645,GIDEON,1842.00,0,0,0,0
1646,Diablo,1836.00,1,3,0,0
1647,Acerola,1835.00,1,2,1,0
1648,Bushy,1823.00,3,0,0,0
1649,Aquasonic,1812.00,4,0,0,0
1650,Lynkez,1808.00,0,1,0,0
1651,JeppeHou,1804.00,2,3,0,0
1652,B1ven,1800.00,0,0,0,0
1653,Hoiz,1788.00,0,0,2,0
1654,Blue,1785.00,2,1,0,0
1655,PiOk,1781.00,1,4,0,0
1656,Eyliph,1780.00,0,1,0,0
1657,Clever,1779.00,0,0,0,0
1658,Nisbeth,1767.00,1,0,0,0
1659,Airwaks,1766.00,1,1,0,0
1660,Steve,1760.00,0,0,1,0
1661,BAO,1753.00,2,0,0,0
1662,Lindgarde,1753.00,0,1,0,0
1663,Becca,1753.00,2,0,0,0
1664,Proud,1753.00,0,0,0,0
1665,Moham,1752.00,2,1,0,0
1666,Lodi,1752.00,2,1,0,0
1667,BreadMan,1752.00,2,1,0,0
1668,DrChaos,1750.00,1,1,0,0
1669,Uloper,1748.00,1,0,0,0
1670,Shogun,1742.00,0,3,6,0
1671,Raxon,1736.00,0,4,1,0
1672,Gabbo,1733.00,2,2,0,0
1673,Cozy,1730.00,3,2,0,0
1674,Vital,1726.00,0,1,1,0
1675,LOCKIE,1720.00,1,0,1,0
1676,Lumerion,1712.00,1,2,0,0
1677,St1ng,1712.00,0,0,1,0
1678,Links,1700.00,2,0,0,0
1679,Gorica,1692.00,0,2,1,0
1680,Outlandisch,1688.00,0,2,0,0
1681,Siler,1679.00,0,0,0,0
1682,Lastwolf,1671.00,1,1,1,0
1683,5Kid,1671.00,0,0,0,0
1684,Arin,1664.00,0,0,0,0
1685,bit1,1664.00,0,0,0,0
1686,Xypherz,1663.00,0,0,0,0
1687,Air,1651.00,1,1,0,0
1687,Matty,1650.00,3,0,1,0
1687,Dinoricar,1635.00,1,1,0,0
1690,Slayer,1632.00,5,3,0,0
1691,Mayhem,1626.00,0,1,0,0
1692,Nikolex,1621.00,0,1,1,0
1693,Manaty,1613.00,1,0,0,0
1694,euna,1601.00,2,0,2,0
1695,Johnsun,1600.00,0,0,0,0
1696,Sheep,1600.00,0,0,0,0
1696,OTTO,1600.00,0,1,0,0
1698,Insanity,1600.00,0,0,0,0
1699,Joekerism,1588.00,0,1,4,0
1700,Kanna,1583.00,1,1,0,0
1701,Khynm,1582.00,1,1,1,0
1702,Marfz,1579.00,0,1,0,0
1703,Looca,1566.00,1,1,0,0
1704,Flipper,1557.00,0,1,1,0
1705,KemKen,1557.00,1,0,0,0
1706,Bung,1555.00,1,0,1,0
1707,1250,1550.00,0,0,0,0
1708,GYX,1550.00,0,0,0,0
1709,Xiao17,1550.00,0,0,0,0
1710,1xn,1550.00,0,0,0,0
1711,Yazmat,1549.00,0,1,0,0
1712,Artum,1549.00,0,1,0,0
1713,Croc,1540.00,0,1,2,0
1714,Jaxplank,1537.00,1,1,0,0
1715,LongB,1526.00,1,0,0,0
1716,Adryh,1514.00,1,0,0,0
1717,Elio,1511.00,0,0,0,0
1718,Glory,1511.00,0,0,0,0
1719,Draktharr,1511.00,0,0,0,0
1720,Merza,1504.00,2,0,2,0
1721,TheTess,1501.00,0,1,0,0
1722,Zeypher,1500.00,0,5,1,0
1723,Skyyart,1500.00,0,0,1,0
1724,Mke,1498.00,1,1,0,0
1725,Silas,1494.00,1,1,2,0
1726,Juzinho,1492.00,1,0,0,1
1727,Warszi,1491.00,0,1,1,0
1728,Pak,1482.00,0,3,0,0
1729,JackPoT,1471.00,1,0,0,0
1730,Mingjing,1465.00,0,0,0,0
1731,New,1465.00,0,1,0,0
1732,irma,1465.00,0,1,0,0
1733,View,1465.00,0,0,1,0
1734,Dany,1463.00,1,2,0,0
1735,Appen,1461.00,1,3,1,0
1736,Dawidsonek,1449.00,0,0,0,0
1737,Soren,1443.00,0,1,0,0
1738,Paladin,1441.00,0,0,0,0
1739,Nazgul,1438.00,0,1,0,0
1740,DahVys,1437.00,1,0,0,0
1741,Igloo,1434.00,0,1,0,0
1742,Rawbin,1431.00,3,1,1,0
1743,Librid,1431.00,2,0,0,0
1744,Rein,1419.00,0,0,0,0
1745,Backlund,1418.00,1,0,0,0
1746,WildPanda,1415.00,0,2,0,0
1747,Teeen,1415.00,0,0,1,0
1748,Octomalus,1413.00,1,1,0,0
1749,Dinka,1410.00,1,0,1,0
1750,ZombieKungen,1410.00,1,0,0,0
1751,Paladin,1408.00,0,0,1,0
1752,Skeeto,1402.00,2,3,1,0
1753,Barrage,1400.00,2,1,1,0
1754,RBM,1400.00,0,1,1,0
1755,Chemera,1398.00,1,0,1,0
1756,WooFe,1396.00,0,2,1,0
1757,flare,1379.00,1,0,1,0
1758,Aesenar,1371.00,0,1,0,0
1759,Flakked,1371.00,0,1,0,0
1760,Findus,1363.00,0,1,1,0
1761,Dred,1362.00,1,1,3,0
1762,Jaunatis,1355.00,1,1,0,0
1763,Blue45ty,1346.00,0,1,0,0
1764,Snuggli,1339.00,0,0,1,0
1765,KroMAX,1337.00,0,0,0,0
1766,Miracle,1336.00,0,0,0,0
1767,Laynel,1336.00,0,1,0,0
1768,Follow,1321.00,4,1,0,0
1769,Shaoran,1320.00,0,0,0,0
1770,Numandiel,1313.00,1,1,3,0
1771,Chibs,1306.00,0,3,6,0
1772,Fittle,1305.00,0,1,0,0
1773,Knighter,1303.00,1,1,0,0
1774,Warden,1301.00,0,0,1,0
1775,Thinkcard,1300.00,0,1,0,0
1776,Do1u1u,1300.00,0,0,0,0
1777,HaRleLuYaR,1300.00,0,0,0,0
1778,Eddie,1299.00,0,0,1,0
1779,Punisher,1297.00,0,0,0,0
1780,HHNeverLucky,1296.00,2,5,0,0
1781,KRP,1288.00,0,1,1,0
1782,zhii,1283.00,1,1,0,0
1783,Tibor,1272.00,2,0,0,0
1784,Lotus,1266.00,1,1,0,0
1785,Speedy,1266.00,0,2,0,0
1786,Wylenz,1257.00,0,6,1,0
1787,Kennedys,1248.00,0,0,1,0
1787,Eign,1246.00,2,0,0,0
1789,Peach,1246.00,2,0,0,0
1790,Kabamarru,1235.00,0,4,0,0
1791,Wolf,1235.00,1,2,0,0
1792,Fisher,1233.00,2,1,0,0
1793,Meager,1224.00,0,1,2,0
1794,Asta,1223.00,2,1,0,0
1795,Bobo,1218.00,0,0,1,0
1796,Vizility,1212.00,0,1,0,0
1797,Sanity,1203.00,1,1,1,0
1798,Xyraz,1202.00,1,1,1,0
1799,Rx Dye,1201.00,0,1,1,0
1800,Lesmart,1200.00,2,0,0,0
1801,EquivocaL,1200.00,0,0,0,0
1802,BarneyD,1200.00,0,0,1,0
1803,Lunar,1183.00,0,1,2,0
1804,iLevi,1181.00,1,0,0,0
1805,Carbono,1180.00,0,0,1,0
1806,Busio,1180.00,0,0,1,0
1807,Young,1160.00,0,1,3,0
1808,King,1160.00,0,0,2,0
1809,Slugger,1155.00,0,0,0,0
1810,Shark,1155.00,0,0,0,0
1811,H4cker,1154.00,0,0,1,0
1812,Kind,1150.00,1,0,1,0
1813,Stratospanda,1144.00,1,1,0,0
1814,Lian,1141.00,0,1,2,0
1815,Philip,1140.00,0,0,0,0
1816,KonDziSan,1139.00,0,1,1,0
1817,Meleks,1128.00,0,0,1,0
1818,KOOLBERG,1122.00,0,2,1,0
1819,Dummy,1121.00,0,0,2,0
1820,FatShield,1121.00,0,0,2,0
1821,Saitam,1120.00,0,0,2,0
1822,Vahvel,1118.00,1,0,0,0
1823,ToongE,1117.00,1,2,0,0
1824,Garp,1116.00,1,2,1,0
1825,Sirinox,1113.00,1,2,2,0
1826,PatkicaA,1111.00,0,1,0,0
1827,Sorry,1108.00,1,0,0,0
1828,Spontexx,1106.00,1,0,0,0
1829,Endz,1105.00,4,1,2,0
1830,Eden Fox,1104.00,0,2,1,0
1831,Zappy,1100.00,0,0,1,0
1832,Woodboy,1099.00,0,0,1,0
1833,Champen,1084.00,1,0,0,0
1834,Fax,1082.00,0,1,0,0
1835,Comet,1079.00,0,0,0,0
1836,Unforgiven,1076.00,0,0,1,0
1837,Hoglet,1076.00,0,1,2,0
1838,Lingwi,1071.00,0,1,0,0
1839,Diplex,1066.00,1,0,3,0
1840,Prelude,1064.00,0,0,1,0
1841,Symphony,1063.00,0,0,1,0
1842,Dedrayon,1060.00,0,0,0,0
1843,Blizz,1059.00,1,0,3,0
1844,Kaylem,1056.00,0,1,0,0
1845,Malice,1056.00,0,0,0,0
1846,bAZZILISKS,1054.00,1,2,0,0
1847,Nafkelah,1049.00,0,0,1,0
1848,Pat,1018.00,2,0,1,0
1849,Shine,1017.00,1,0,0,0
1850,Juves,1014.00,0,0,2,0
1851,Last,1010.00,0,0,0,0
1852,Charca,1002.00,1,1,0,0
1853,Serin,1000.00,2,1,0,0
1854,Farfetch,1000.00,2,0,0,0
1855,Swathe,1000.00,0,0,1,0
1856,Gunkrab,1000.00,1,0,1,0
1856,Ferret,1000.00,2,1,0,0
1858,Shok,1000.00,0,1,2,0
1859,SkyTec,1000.00,0,0,0,0
1860,Midbeast,1000.00,0,1,0,0
1861,Dragku,1000.00,0,0,2,0
1862,StarScreen,1000.00,3,2,0,0
1863,TOPKING,1000.00,0,0,0,0
1864,Tsiperakos,998.00,0,1,0,0
1865,Vaynedeta,998.00,0,1,0,0
1866,Blacky,996.00,1,1,0,0
1867,Xeonerr,995.00,0,0,0,0
1868,Klydex,988.00,1,2,0,0
1869,apaMEN,984.00,1,4,5,1
1870,Creon,983.00,0,1,2,0
1871,Jun,981.00,1,0,0,0
1872,DRIFTER,967.00,1,0,0,0
1873,Sangchu,965.00,1,0,0,0
1874,Brona,965.00,1,0,0,0
1875,2003,965.00,1,0,0,0
1876,darkchri,962.00,2,1,0,0
1877,Jackspektra,957.00,0,0,0,0
1878,Jaylink,949.00,1,0,1,0
1879,Cao,940.00,0,0,1,0
1880,Naerea,934.00,2,1,1,0
1881,Homi,933.00,0,3,0,0
1882,Ordno,930.00,0,3,2,0
1883,Psclly,930.00,0,1,2,0
1884,Meaning,928.00,2,2,0,0
1885,StormFury,925.00,0,0,0,0
1886,SlowQ,921.00,1,0,0,0
1887,Sajator,918.00,2,0,0,0
1888,Sacrifice,918.00,2,0,0,0
1889,Beenie,914.00,0,1,0,0
1890,Lospa,913.00,2,0,0,0
1891,Winner,913.00,2,0,0,0
1892,Quid,913.00,2,0,0,0
1893,Jaqen,913.00,0,0,0,0
1894,Taeyoon,910.00,1,0,0,0
1895,Netuno,909.00,1,0,0,0
1896,Naxxy,907.00,0,3,1,0
1897,Jenxas,907.00,0,0,0,0
1898,Delight,903.00,1,0,0,0
1899,Snaker,901.00,0,2,0,0
1900,Patience,900.00,0,0,0,0
1901,Catjug,900.00,0,0,0,0
1902,Hyami,900.00,0,0,0,0
1903,Instinct,900.00,0,0,1,0
1904,Toland,899.00,1,0,1,0
1905,Howling,899.00,1,0,1,0
1906,Enga,893.00,2,1,1,0
1907,Bounty,891.00,2,0,0,0
1908,Guertas,886.00,1,0,3,0
1909,Ploxy,886.00,4,2,1,0
1910,StarSpring,885.00,0,1,0,0
1911,Enty,884.00,1,3,6,1
1912,Winsome,883.00,1,1,0,0
1913,Velja,876.00,0,0,0,0
1914,Cacon,874.00,0,0,0,0
1915,Aomine,874.00,0,0,0,0
1916,Raizins,869.00,0,1,1,0
1917,Lewus,866.00,0,0,0,0
1918,Feedarias,864.00,1,2,0,0
1919,Raven,854.00,0,0,2,0
1920,zezpez,851.00,0,0,0,0
1921,Rhino,850.00,0,1,1,0
1922,Meech,850.00,0,1,1,0
1923,Raheen,850.00,0,1,1,0
1924,KongMing,849.00,1,2,0,0
1925,Helper,849.00,0,0,0,0
1926,HamBak,849.00,1,1,0,0
1927,Godux,838.00,1,1,0,0
1928,Deluxe,837.00,0,1,0,0
1929,Fl4mer,834.00,3,0,1,0
1930,Vaunted,818.00,0,0,0,0
1931,Meron,804.00,2,3,0,0
1932,A M U S E 4,804.00,1,1,0,0
1933,SimSin,801.00,1,0,0,0
1934,Metalx,801.00,0,0,1,0
1935,Yusui,800.00,0,0,0,0
1936,Shera,800.00,0,0,0,0
1937,Rex,800.00,0,0,0,0
1938,Jukes,800.00,0,0,0,0
1939,Gariaru,800.00,0,1,2,0
1940,Kiy1n9,800.00,0,0,0,0
1941,Harpoon,795.00,0,0,0,0
1942,Piloto,795.00,0,0,0,0
1943,KuKu,788.00,0,0,0,0
1944,Gotzy,781.00,0,1,4,0
1945,Mercenary,779.00,0,0,0,0
1946,CyraXx,779.00,0,0,0,0
1947,Veignorem,777.00,1,1,0,0
1948,Valhalla,776.00,0,0,0,0
1949,Khomzar,776.00,0,0,0,0
1950,Jakamaka,772.00,0,0,0,0
1951,Riron,766.00,0,0,1,0
1952,Hioss,763.00,0,1,0,0
1953,BB Muffin,755.00,1,0,0,0
1954,ATRemains,754.00,0,1,1,0
1955,ItzRenifer,748.00,0,0,0,0
1956,Kinn,743.00,0,1,0,0
1957,Calmsky,743.00,0,1,2,0
1958,yOFT,739.00,0,0,2,0
1959,Seal,726.00,0,0,2,0
1960,FlashInTheNight,721.00,0,0,0,0
1961,Panda,720.00,1,0,0,0
1962,Governor,717.00,0,1,1,0
1963,Sloth,713.00,2,0,0,0
1964,Viketox,710.00,0,0,0,0
1965,Sybr,705.00,0,2,0,0
1966,Chalice7,702.00,0,1,0,0
1967,Pain,702.00,0,1,0,0
1968,Meng,702.00,0,1,0,0
1969,Sly,702.00,0,1,0,0
1970,Mish,702.00,0,1,0,0
1971,Ceo,700.00,0,0,0,0
1972,Shu Hari,700.00,0,0,0,0
1973,Zerito,700.00,0,0,0,0
1974,HmlssMaster,696.00,1,1,0,0
1975,Conse,696.00,1,2,1,0
1976,BeBopBulli,691.00,0,1,1,0
1977,ChangeName,682.00,0,1,0,0
1978,DNA,680.00,0,0,1,0
1979,Dragoon,680.00,1,0,1,0
1980,Soul,674.00,0,0,0,0
1981,MyKey,674.00,0,0,0,0
1982,Bendix,670.00,0,1,2,0
1983,FeeNiixZ,661.00,0,1,0,0
1984,Mytant,661.00,0,1,0,0
1985,Balkane,661.00,0,0,0,0
1986,Maynter,661.00,0,0,0,0
1987,PekiDo,661.00,0,0,0,0
1988,6ax,661.00,0,0,0,0
1989,Sericus,661.00,0,0,0,0
1990,Speedo,660.00,0,1,1,0
1991,Lagiah,658.00,0,2,0,0
1992,Rare,650.00,1,0,0,0
1993,Korpse,650.00,1,0,0,0
1994,Gricek,649.00,0,0,0,0
1995,Facen,645.00,0,2,0,0
1996,Smash,642.00,1,1,0,0
1997,Forest,642.00,1,1,0,0
1998,Dal,642.00,1,1,0,0
1999,Minous,642.00,1,1,0,0
2000,Marlon,641.00,0,0,0,0
2001,Eragon,641.00,0,1,0,0
2002,Adiss,635.00,1,1,0,0
2003,Welcom,626.00,1,0,0,0
2003,MjrDee,626.00,0,0,1,0
2005,vvarion,618.00,0,0,0,0
2006,Enel,616.00,0,0,0,0
2007,Rubi0o,601.00,0,1,0,0
2008,YourRiver,600.00,0,0,0,0
2008,Kusuo,600.00,0,0,0,0
2008,Bush,600.00,0,0,0,0
2008,chen9,600.00,0,1,0,0
2008,Shade,600.00,0,4,0,0
2008,WeiLun,600.00,0,0,0,0
2014,Mousty,596.00,0,0,0,0
2014,Bankai,596.00,0,0,0,0
2016,Peppe,592.00,0,1,1,0
2017,Ardes,570.00,0,1,0,0
2018,Straight,563.00,0,1,0,0
2019,Infoneral,561.00,0,0,2,0
2019,OMON,561.00,0,0,2,0
2019,Emiw,561.00,0,0,2,0
2019,Joep,561.00,0,0,2,0
2023,Crazycaps,558.00,0,0,0,0
2024,Betao,552.00,0,1,0,0
2024,Goot,552.00,0,1,0,0
2024,Kick,552.00,0,1,0,0
2027,Hyper,550.00,0,0,2,0
2028,Vayu,549.00,1,0,0,0
2029,Heroic,545.00,4,0,1,0
2030,Hidan,543.00,1,0,0,0
2031,Crowno,541.00,2,1,0,0
2032,Barcode,537.00,0,0,0,0
2033,Muru,535.00,1,0,0,0
