number,name,earnings,gold,silver,bronze,s-tier
404,Doxy,36366.00,4,6,1,0
405,loulex,36166.00,1,0,2,1
406,Xuhao,36126.00,1,0,1,0
407,Burdol,36105.00,1,2,0,0
408,GuGer,36071.00,2,6,0,0
409,Tierwulf,36052.00,5,2,0,0
410,XLB,36014.00,2,2,0,0
411,Agresivoo,35964.00,5,4,4,0
412,Shernfire,35936.00,5,2,1,1
413,Revolta,35735.00,5,4,5,2
414,Fix,35665.00,6,4,0,0
415,Zanzarah,35579.00,3,8,1,0
416,Rich,35464.00,3,2,0,0
417,Voyboy,35450.00,3,3,3,0
418,Steeelback,35301.00,7,1,0,1
419,Rather,35294.00,2,1,1,1
420,Bando,35176.00,6,7,2,0
421,Stomaged,35120.00,5,3,0,2
422,Coco,34962.00,0,1,3,0
423,Bvoy,34915.00,0,4,0,0
424,Shlatan,34723.00,6,5,0,0
425,Orome,34675.00,3,2,2,0
426,Rahel,34515.00,1,0,0,1
427,Helios,34482.00,3,3,0,1
428,HotshotGG,34380.00,3,3,3,0
429,TitaN,34281.00,7,0,1,1
430,Sertuss,34263.00,4,3,2,0
431,Yang,33740.00,6,5,0,2
432,Noway,33625.00,4,4,3,0
433,Nite,33576.00,4,2,4,0
434,Cinkrof,33561.00,5,5,2,0
435,K,33402.00,0,2,3,0
436,GBM,33400.00,3,2,0,1
437,Tonerre,33233.00,10,4,6,0
438,Lilv,33067.00,1,2,4,1
439,Zefa,33047.00,0,2,0,0
440,Mafa,32986.00,2,1,2,1
441,Tabasko,32922.00,6,2,4,0
442,bluerzor,32885.00,10,6,5,0
443,Frozen,32881.00,2,2,0,1
444,ShiauC,32806.00,2,0,1,2
445,Send0o,32775.00,8,11,2,1
446,Breeze,32502.00,0,2,3,0
447,Czekolad,32448.00,4,1,1,0
448,Jockster,32371.00,4,3,0,1
449,Crownshot,32311.00,8,6,1,0
450,Conan,32267.00,2,0,1,0
451,Kitties,32250.00,0,2,2,0
452,Tank,32009.00,0,3,2,0
453,Chauster,31980.00,2,3,3,0
454,NaeHyun,31976.00,2,2,1,2
455,Asza,31971.00,7,3,2,0
456,Tore,31944.00,2,2,0,0
457,Gemini,31939.00,1,2,2,0
458,Xiyang,31577.00,1,1,2,1
459,Keith,31400.00,1,4,1,0
460,Jay,31375.00,1,2,2,0
461,Phones,31322.00,1,5,5,0
462,Keduii,31231.00,4,6,2,0
463,Rest,31099.00,1,1,4,1
464,Vsta,30965.00,0,1,2,0
465,YiJin,30872.00,3,2,3,0
466,Kami,30814.00,3,4,4,0
467,Atlen,30730.00,3,0,1,2
468,Bo,30670.00,0,1,0,0
469,NikSar,30622.00,1,0,0,0
470,ZaZee,30461.00,5,2,0,0
471,Warangelus,30360.00,2,5,1,0
472,Djoko,30280.00,9,4,0,0
473,Robo,30232.00,6,3,1,1
474,Key,30095.00,2,0,0,0
475,IWillDominate,30000.00,0,4,4,0
476,Blasting,29902.00,3,1,0,0
477,Pretty,29860.00,9,2,1,0
478,MagiFelix,29654.00,13,5,1,1
479,Shanks,29636.00,1,2,2,0
480,SolidSnake,29425.00,5,1,2,0
481,Lucas,29269.00,2,0,1,0
482,SirT,29175.00,3,4,3,0
483,Innaxe,29086.00,4,7,0,0
484,Don Arts,28990.00,4,2,1,0
485,Finn,28967.00,1,2,3,0
486,Crazy,28861.00,3,0,0,0
487,Kellin,28728.00,0,2,2,0
488,Kreox,28670.00,1,3,1,0
489,V1per,28600.00,4,1,0,0
490,Comp,28451.00,8,3,1,0
491,Adrian,28400.00,1,3,5,0
492,Profit,28366.00,2,0,0,1
493,Mole,28327.00,0,1,2,0
494,Voidle,28052.00,2,2,2,0
495,Exile,28005.00,2,7,2,0
496,Kiaya,27883.00,2,2,1,0
497,Moyu,27863.00,0,2,1,0
498,Hana,27840.00,1,0,2,1
499,Aiming,27810.00,0,2,1,0
500,Rush,27796.00,1,0,2,1
501,Homme,27787.00,1,1,1,1
502,Space,27760.00,0,2,2,0
503,Moopz,27592.00,8,6,4,0
504,Chei,27573.00,0,2,0,0
505,Dan Dan,27546.00,6,6,1,0
506,Mylon,27408.00,4,2,2,0
507,RedBert,27343.00,4,2,1,0
508,Bigfatlp,27280.00,2,3,1,0
509,ADD,27273.00,1,2,0,0
510,Ranger,27116.00,3,1,1,1
511,Nukes,27027.00,4,4,1,0
512,Candy,27000.00,3,1,0,0
513,NoWay,26998.00,6,3,1,0
514,Nate,26878.00,6,6,0,0
515,Forge,26844.00,2,0,0,0
516,Duan,26690.00,1,0,0,0
517,Dioud,26588.00,3,1,3,0
518,Sya,26581.00,2,2,1,0
519,Toaster,26551.00,6,7,3,0
520,HustlinbeasT,25901.00,5,5,7,0
521,Raxxo,25900.00,2,8,2,0
522,SSol,25807.00,1,4,1,0
523,Ellim,25759.00,3,1,0,1
524,Kuzan,25732.00,1,1,0,0
525,Ronop,25651.00,3,1,2,0
526,Vasilii,25491.00,0,0,1,0
527,dyNquedo,25398.00,3,0,3,1
528,Chippys,25292.00,4,3,5,0
529,Nevan,25203.00,2,1,0,0
530,cvMax,25177.00,1,1,0,1
531,scarra,25100.00,1,3,5,0
532,Imaqtpie,25100.00,1,3,5,0
533,Paz,25031.00,4,5,3,1
534,Karis,25003.00,3,1,0,0
535,Lurox,24858.00,3,3,4,0
536,Blanc,24824.00,1,0,0,1
537,Shadow,24770.00,1,1,1,0
538,Sangyoon,24759.00,1,1,1,0
539,Move,24700.00,3,1,0,1
